INFO - 10.618953704833984, [0]
INFO - 8.104636192321777, [0]
INFO - 12.884787559509277, [0]
INFO - 12.559582710266113, [0]
INFO - 12.66463851928711, [0]
INFO - 11.72850513458252, [0]
INFO - 11.707727432250977, [0]
INFO - 11.679738998413086, [0]
INFO - 10.004698753356934, [0]
INFO - 10.170001983642578, [0]
INFO - 8.504260063171387, [0]
INFO - 9.178135871887207, [0]
INFO - 10.70676326751709, [0]
INFO - 11.084443092346191, [0]
INFO - 9.613630294799805, [0]
INFO - 9.089160919189453, [0]
INFO - 7.4340972900390625, [0]
INFO - 6.303291320800781, [0]
INFO - 6.078965187072754, [0]
INFO - 6.331196308135986, [0]
INFO - 6.746414661407471, [0]
INFO - 8.547253608703613, [1]
INFO - 12.464312553405762, [1]
INFO - 15.226313591003418, [1]
INFO - 14.987687110900879, [1]
INFO - 15.351130485534668, [1]
INFO - 15.225757598876953, [1]
INFO - 15.22049331665039, [1]
INFO - 15.32013988494873, [1]
INFO - 15.468072891235352, [1]
INFO - 15.520380973815918, [1]
INFO - 15.395708084106445, [1]
INFO - 15.2052583694458, [1]
INFO - 15.063748359680176, [1]
INFO - 15.104768753051758, [1]
INFO - 14.895586967468262, [1]
INFO - 14.86638355255127, [1]
INFO - 14.923614501953125, [1]
INFO - 15.090154647827148, [1]
INFO - 15.15681266784668, [1]
INFO - 14.85161304473877, [1]
INFO - 14.917947769165039, [1]
INFO - 15.111580848693848, [1]
INFO - 14.765409469604492, [1]
INFO - 14.57391357421875, [1]
INFO - 14.216626167297363, [1]
INFO - 14.456010818481445, [1]
INFO - 15.626158714294434, [1]
INFO - 15.857901573181152, [1]
INFO - 15.622950553894043, [1]
INFO - 15.357524871826172, [1]
INFO - 15.537775039672852, [1]
INFO - 15.001709938049316, [1]
INFO - 16.238847732543945, [1]
INFO - 15.85543441772461, [1]
INFO - 16.129878997802734, [1]
INFO - 15.987196922302246, [1]
INFO - 16.059659957885742, [1]
INFO - 16.028308868408203, [1]
INFO - 16.097412109375, [1]
INFO - 16.155311584472656, [1]
INFO - 15.760479927062988, [1]
INFO - 15.762532234191895, [1]
INFO - 16.234642028808594, [1]
INFO - 16.05669593811035, [1]
INFO - 16.032482147216797, [1]
INFO - 16.14813232421875, [1]
INFO - 16.052989959716797, [1]
INFO - 15.930988311767578, [1]
INFO - 16.181194305419922, [1]
INFO - 15.845816612243652, [1]
INFO - 15.903973579406738, [1]
INFO - 15.836609840393066, [1]
INFO - 16.095216751098633, [1]
INFO - 16.03948974609375, [1]
INFO - 15.975554466247559, [1]
INFO - 15.712942123413086, [1]
INFO - 16.07113265991211, [1]
INFO - 16.049671173095703, [1]
INFO - 16.185340881347656, [1]
INFO - 16.19061851501465, [1]
INFO - 16.266193389892578, [1]
INFO - 16.245079040527344, [1]
INFO - 15.87044620513916, [1]
INFO - 15.80935001373291, [1]
INFO - 15.108268737792969, [1]
INFO - 15.508308410644531, [1]
INFO - 15.459238052368164, [1]
INFO - 15.372761726379395, [1]
INFO - 15.639668464660645, [1]
INFO - 15.943395614624023, [1]
INFO - 16.26360321044922, [1]
INFO - 15.82404613494873, [1]
INFO - 15.85618782043457, [1]
INFO - 16.286205291748047, [1]
INFO - 16.64623260498047, [1]
INFO - 16.365942001342773, [1]
INFO - 16.521141052246094, [1]
INFO - 15.3782377243042, [1]
INFO - 14.80803394317627, [1]
INFO - 15.427610397338867, [1]
INFO - 15.991006851196289, [1]
INFO - 15.943918228149414, [1]
INFO - 15.882068634033203, [1]
INFO - 15.952455520629883, [1]
INFO - 15.879880905151367, [1]
INFO - 15.977522850036621, [1]
INFO - 16.044004440307617, [1]
INFO - 15.702726364135742, [1]
INFO - 15.66920280456543, [1]
INFO - 15.519062995910645, [1]
INFO - 15.370570182800293, [1]
INFO - 15.255367279052734, [1]
INFO - 14.668149948120117, [1]
INFO - 14.556780815124512, [1]
INFO - 14.384516716003418, [0]
INFO - 14.38671588897705, [0]
INFO - 13.581391334533691, [0]
INFO - 12.795307159423828, [0]
INFO - 10.946681022644043, [0]
INFO - 8.892433166503906, [0]
INFO - 5.940380573272705, [0]
INFO - 6.309144496917725, [0]
INFO - 7.178788661956787, [0]
INFO - 10.174092292785645, [0]
INFO - 9.378132820129395, [0]
INFO - 7.524832248687744, [0]
INFO - 12.317853927612305, [0]
INFO - 11.807745933532715, [0]
INFO - 11.764432907104492, [0]
INFO - 11.862679481506348, [0]
